Title	Author	DOI	Link DOI	ACM	IEEE	SCOPUS
antijam adaptive array instrument for the weak gnss in the fast timevarying scenario	Zhang, Y., Li, P.	10.3923/itj.2013.8446.8453	https://doi.org/10.3923/itj.2013.8446.8453			https://www.scopus.com/inward/record.url?eid=2-s2.0-84901610558&partnerID=40&md5=ad88bc4aee34d7871ae863280f0e7b5b
antipattern detection with model queries a comparison of approaches	Ujhelyi, Z., Horváth, A., Varró, D., Csiszár, N.I., Szóke, G., Vidács, L., Ferenc, R.	10.1109/CSMR-WCRE.2014.6747181	https://doi.org/10.1109/CSMR-WCRE.2014.6747181			https://www.scopus.com/inward/record.url?eid=2-s2.0-84898475693&partnerID=40&md5=fdf5ae2ff933badca067c3f11735f512
anytime spatially coupled codes for relay channel	Noor-A-Rahim, M., Nguyen, K.D., Lechner, G.	10.1109/AusCTW.2014.6766425	https://doi.org/10.1109/AusCTW.2014.6766425			https://www.scopus.com/inward/record.url?eid=2-s2.0-84899425422&partnerID=40&md5=e3c4b88c2461ec30231c55503362729e
api misuse detection in c programs practice on ssl apis	Li, C., Gu, Z., Zhou, M., Wu, J., Zhang, J., Gu, M.	10.1142/S0218194019400205	https://doi.org/10.1142/S0218194019400205			https://www.scopus.com/inward/record.url?eid=2-s2.0-85079345031&partnerID=40&md5=812927af8956379774f7f3baa3bffbfc
api2com on the improvement of automatically generated code comments using api documentations	Shahbazi, R., Sharma, R., Fard, F.H.	10.1109/ICPC52881.2021.00049	https://doi.org/10.1109/ICPC52881.2021.00049			https://www.scopus.com/inward/record.url?eid=2-s2.0-85113228933&partnerID=40&md5=ec0b1794cc577d1f6eb2504d1be304a1
applicability of program comprehension to sparse matrix computations	Christoph W. Keßler	10.5555/646662.699401	https://doi.org/10.5555/646662.699401	https://dl.acm.org/doi/10.5555/646662.699401		https://www.scopus.com/inward/record.url?eid=2-s2.0-84882653098&partnerID=40&md5=7f74cf5b96a8d75d970623cce32e913b
application architecture discovery towards domaindriven, easilyextensible code structure	Hitesh Sajnani, Ravindra Naik, Cristina Lopes	10.1109/WCRE.2011.56	https://doi.org/10.1109/WCRE.2011.56	https://dl.acm.org/doi/10.1109/WCRE.2011.56	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6079867	https://www.scopus.com/inward/record.url?eid=2-s2.0-83455162421&partnerID=40&md5=c43d8d93c149360dfc323975ccb9ae9c
application domain and programming language readability yardsticks	Akour, M., Falah, B.	10.1109/CSIT.2016.7549476	https://doi.org/10.1109/CSIT.2016.7549476			https://www.scopus.com/inward/record.url?eid=2-s2.0-84987678760&partnerID=40&md5=300faaea499399d0a4b81c7d1e7df79a
application of design patterns for structural alignment in software porting	Stehle, T., Riebisch, M.	10.1109/ASWEC.2018.00032	https://doi.org/10.1109/ASWEC.2018.00032			https://www.scopus.com/inward/record.url?eid=2-s2.0-85061041885&partnerID=40&md5=07c0305deadc01c95d3001c07d126b1f
application of formal methods to the development of a software maintenance tool	S. Blazy, P. Facon	10.5555/786767.786813	https://doi.org/10.5555/786767.786813	https://dl.acm.org/doi/10.5555/786767.786813		https://www.scopus.com/inward/record.url?eid=2-s2.0-0031382852&partnerID=40&md5=d5a0d20143bd541d9cfa027710da5fc9
application of genetic algorithm in automatic software testing	Babamir, F.S., Hatamizadeh, A., Babamir, S.M., Dabbaghian, M., Norouzi, A.	10.1007/978-3-642-14306-9_54	https://doi.org/10.1007/978-3-642-14306-9_54			https://www.scopus.com/inward/record.url?eid=2-s2.0-77956103860&partnerID=40&md5=fa8815b3059e03e8aa01be768723afae
application of naïve bayes classifiers for refactoring prediction at the method level	Panigrahi, R., Kuanar, S.K., Kumar, L.	10.1109/ICCSEA49143.2020.9132849	https://doi.org/10.1109/ICCSEA49143.2020.9132849			https://www.scopus.com/inward/record.url?eid=2-s2.0-85089773794&partnerID=40&md5=0d09a4fc5c3783410bf009f30f127d50
application of puzzles to unpuzzle the programming difficulty through spoken tutorial workshops	Eranki, K.L.N., Moudgalya, K.M.		https://doi.org/			https://www.scopus.com/inward/record.url?eid=2-s2.0-84896466376&partnerID=40&md5=051a5e6b8e1d0638c04237c23d75f5fd
