type	title	title-adjusted	doi	acm_url	authors	booktitle	published_date
Article	Program Understanding in Databases Reverse Engineering	program understanding in databases reverse engineering	10.5555/648311.755029	https://dl.acm.org/doi/10.5555/648311.755029	Jean Henrard, Vincent Englebert, Jan-Marc Hick, Didier Roland, Jean-Luc Hainaut	DEXA '98: Proceedings of the 9th International Conference on Database and Expert Systems Applications	24 August 1998
Article	Applicability of Program Comprehension to Sparse Matrix Computations	applicability of program comprehension to sparse matrix computations	10.5555/646662.699401	https://dl.acm.org/doi/10.5555/646662.699401	Christoph W. Keßler	Euro-Par '97: Proceedings of the Third International Euro-Par Conference on Parallel Processing	26 August 1997
article	Comparing of feedback-collection and think-aloud methods in program comprehension studies	comparing of feedbackcollection and thinkaloud methods in program comprehension studies	10.1080/01449290701682761	https://dl.acm.org/doi/10.1080/01449290701682761	Amela Karahasanovic, Unni Nyhamar Hinkel, Dag I. K. Sjøberg, Richard Thomas	Behaviour & Information Technology (BEIT)	01 March 2009
research-article	Augmenting Code with In Situ Visualizations to Aid Program Understanding	augmenting code with in situ visualizations to aid program understanding	10.1145/3173574.3174106	https://dl.acm.org/doi/10.1145/3173574.3174106	Jane Hoffswell, Arvind Satyanarayan, Jeffrey Heer	CHI '18: Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems	21 April 2018
abstract	Exploring cognitive processes in program comprehension based on eye-movement analysis (abstract only)	exploring cognitive processes in program comprehension based on eyemovement analysis (abstract only)	10.1145/2538862.2544268	https://dl.acm.org/doi/10.1145/2538862.2544268	Ting-Yun Hou, Yu-Tzu Lin, Yu-Chih Lin, Cheng-Chih Wu	SIGCSE '14: Proceedings of the 45th ACM technical symposium on Computer science education	05 March 2014
article	Program comprehension of domain-specific and general-purpose languages: replication of a family of experiments using integrated development environments	program comprehension of domainspecific and generalpurpose languages replication of a family of experiments using integrated development environments	10.1007/s10664-017-9593-2	https://dl.acm.org/doi/10.1007/s10664-017-9593-2	Toma? Kosar, Sašo Gaberc, Jeffrey C. Carver, Marjan Mernik	Empirical Software Engineering (KLU-EMSE)	01 October 2018
Article	Points-to Analysis for Program Understanding	pointsto analysis for program understanding	10.5555/523511.837883	https://dl.acm.org/doi/10.5555/523511.837883	P. Tonella, G. Antoniol, R. Fiutem, E. Merlo	WPC '97: Proceedings of the 5th International Workshop on Program Comprehension (WPC '97)	28 May 1997
Article	An Initial Approach to Assessing Program Comprehensibility Using Spatial Complexity, Number of Concepts and Typographical Style	an initial approach to assessing program comprehensibility using spatial complexity, number of concepts and typographical style	10.5555/1038267.1039056	https://dl.acm.org/doi/10.5555/1038267.1039056	Andrew Mohan, Nicolas Gold, Paul Layzell	WCRE '04: Proceedings of the 11th Working Conference on Reverse Engineering	08 November 2004
Article	Comparing Graph-Based Program Comprehension Tools to Relational Database-Based Tools	comparing graphbased program comprehension tools to relational databasebased tools	10.5555/876902.881288	https://dl.acm.org/doi/10.5555/876902.881288		IWPC '01: Proceedings of the 9th International Workshop on Program Comprehension	12 May 2001
doctoral_thesis	Improving Program Comprehension Tools for Domain Specific Languages	improving program comprehension tools for domain specific languages	10.5555/AAI28784585	https://dl.acm.org/doi/book/10.5555/AAI28784585	Nuno Ernesto Salgado Oliveira, Henriques, Pedro Rangel, Pereira, Maria João Varanda		01 January 2009
