type	title	title-adjusted	doi	acm_url	authors	booktitle	published_date
Article	Software Architecture: Leverage for System/Program Comprehension	software architecture leverage for system/program comprehension	10.5555/876902.881308	https://dl.acm.org/doi/10.5555/876902.881308		IWPC '01: Proceedings of the 9th International Workshop on Program Comprehension	12 May 2001
short-paper	The effect of identifier naming on source code readability and quality	the effect of identifier naming on source code readability and quality	10.1145/1595782.1595796	https://dl.acm.org/doi/10.1145/1595782.1595796	Simon Butler	ESEC/FSE Doctoral Symposium '09: Proceedings of the doctoral symposium for ESEC/FSE on Doctoral symposium	25 August 2009
research-article	A Comparative Study of Free Self-Explanations and Socratic Tutoring Explanations for Source Code Comprehension	a comparative study of free selfexplanations and socratic tutoring explanations for source code comprehension	10.1145/3408877.3432423	https://dl.acm.org/doi/10.1145/3408877.3432423	Lasang Jimba Tamang, Zeyad Alshaikh, Nisrine Ait Khayi, Priti Oli, Vasile Rus	SIGCSE '21: Proceedings of the 52nd ACM Technical Symposium on Computer Science Education	03 March 2021
research-article	An empirical evaluation of machine learning techniques to classify code comprehension based on EEG data	an empirical evaluation of machine learning techniques to classify code comprehension based on eeg data	10.1016/j.eswa.2022.117354	https://dl.acm.org/doi/10.1016/j.eswa.2022.117354	Lucian José Gonçales, Kleinner Farias, Lucas Silveira Kupssinskü, Matheus Segalotto	Expert Systems with Applications: An International Journal (EXWA)	01 October 2022
research-article	Eye-movement Modeling Examples in Source Code Comprehension: A Classroom Study	eyemovement modeling examples in source code comprehension a classroom study	10.1145/3279720.3279722	https://dl.acm.org/doi/10.1145/3279720.3279722	Roman Bednarik, Carsten Schulte, Lea Budde, Birte Heinemann, Hana Vrzakova	Koli Calling '18: Proceedings of the 18th Koli Calling International Conference on Computing Education Research	22 November 2018
Article	Workshop on Graphical Documentation for Programmers: Assessing the Efficacy of UML Diagrams for Program Understanding	workshop on graphical documentation for programmers assessing the efficacy of uml diagrams for program understanding	10.5555/851042.857042	https://dl.acm.org/doi/10.5555/851042.857042	Shihong Huang, Scott Tilley	IWPC '03: Proceedings of the 11th IEEE International Workshop on Program Comprehension	10 May 2003
Article	DeepCode: An Annotated Set of Instructional Code Examples to Foster Deep Code Comprehension and Learning	deepcode an annotated set of instructional code examples to foster deep code comprehension and learning	10.1007/978-3-031-09680-8_4	https://dl.acm.org/doi/10.1007/978-3-031-09680-8_4	Vasile Rus, Peter Brusilovsky, Lasang Jimba Tamang, Kamil Akhuseyinoglu, Scott Fleming	Intelligent Tutoring Systems	29 June 2022
article	Automated support for legacy code understanding	automated support for legacy code understanding	10.1145/175290.175295	https://dl.acm.org/doi/10.1145/175290.175295	Jim Q. Ning, Andre Engberts, W. Voytek Kozaczynski	Communications of the ACM (CACM)	01 May 1994
research-article	Considerations and Pitfalls for Reducing Threats to the Validity of Controlled Experiments on Code Comprehension	considerations and pitfalls for reducing threats to the validity of controlled experiments on code comprehension	10.1007/s10664-022-10160-3	https://dl.acm.org/doi/10.1007/s10664-022-10160-3	Dror G. Feitelson	Empirical Software Engineering (KLU-EMSE)	01 November 2022
Article	CodeCrawler: an information visualization tool for program comprehension	codecrawler an information visualization tool for program comprehension	10.1145/1062455.1062602	https://dl.acm.org/doi/10.1145/1062455.1062602	Michele Lanza, Stéphane Ducasse, Harald Gall, Martin Pinzger	ICSE '05: Proceedings of the 27th international conference on Software engineering	15 May 2005
research-article	DTT: program structure-aware indirect branch optimization via direct-TPC-table in DBT system	dtt program structureaware indirect branch optimization via directtpctable in dbt system	10.1145/2597917.2597944	https://dl.acm.org/doi/10.1145/2597917.2597944	Ning Jia, Chun Yang, Yu He, Xu Cheng	CF '14: Proceedings of the 11th ACM Conference on Computing Frontiers	20 May 2014
doctoral_thesis	A multi-level code comprehension model for large-scale software	a multilevel code comprehension model for largescale software	10.5555/924906	https://dl.acm.org/doi/book/10.5555/924906	A. Marie Vans		01 January 1996
Article	Documenting software systems with views V: towards visual documentation of design patterns as an aid to program understanding	documenting software systems with views v towards visual documentation of design patterns as an aid to program understanding	10.1145/1297144.1297167	https://dl.acm.org/doi/10.1145/1297144.1297167	Tim Trese, Scott Tilley	SIGDOC '07: Proceedings of the 25th annual ACM international conference on Design of communication	22 October 2007
research-article	Teaching recursion via control flow and code comprehension in CS1	teaching recursion via control flow and code comprehension in cs1	10.5555/3280489.3280523	https://dl.acm.org/doi/10.5555/3280489.3280523	Xuguang Chen	Journal of Computing Sciences in Colleges (JCSC)	01 October 2018
research-article	Code Structure Guided Transformer for Source Code Summarization	code structure guided transformer for source code summarization	10.1145/3522674	https://dl.acm.org/doi/10.1145/3522674	Shuzheng Gao, Cuiyun Gao, Yulan He, Jichuan Zeng, Lun Yiu Nie, Xin Xia, Michael R. Lyu	ACM Transactions on Software Engineering and Methodology (TOSEM)	4 February 2022
research-article	Beyond gaze: preliminary analysis of pupil dilation and blink rates in an fMRI study of program comprehension	beyond gaze preliminary analysis of pupil dilation and blink rates in an fmri study of program comprehension	10.1145/3216723.3216726	https://dl.acm.org/doi/10.1145/3216723.3216726	Norman Peitek, Janet Siegmund, Chris Parnin, Sven Apel, André Brechmann	EMIP '18: Proceedings of the Workshop on Eye Movements in Programming	15 June 2018
research-article	Maintenance of embedded systems: supporting program comprehension using dynamic analysis	maintenance of embedded systems supporting program comprehension using dynamic analysis	10.5555/2667025.2667035	https://dl.acm.org/doi/10.5555/2667025.2667035	Jonas Trümper, Stefan Voigt, Jürgen Döllner	SEES '12: Proceedings of the Second International Workshop on Software Engineering for Embedded Systems	09 June 2012
Article	Session 1b: Structure-Behavior-Function Program Understanding	session 1b structurebehaviorfunction program understanding	10.5555/876902.881300	https://dl.acm.org/doi/10.5555/876902.881300	Chairs: E. Stroulia	IWPC '01: Proceedings of the 9th International Workshop on Program Comprehension	12 May 2001
Article	JRipples: A Tool for Program Comprehension during Incremental Change	jripples a tool for program comprehension during incremental change	10.1109/WPC.2005.22	https://dl.acm.org/doi/10.1109/WPC.2005.22	Jonathan Buckner, Joseph Buchta, Maksym Petrenko, Vaclav Rajlich	IWPC '05: Proceedings of the 13th International Workshop on Program Comprehension	15 May 2005
Article	Evolving a Legacy Application Portfolio at Sallie Mae: Program Comprehension and Beyond	evolving a legacy application portfolio at sallie mae program comprehension and beyond	10.1109/ICPC.2006.22	https://dl.acm.org/doi/10.1109/ICPC.2006.22	Robert S. Autor	ICPC '06: Proceedings of the 14th IEEE International Conference on Program Comprehension	14 June 2006
article	The Code Structure of HIV-1	the code structure of hiv1	10.1007/s11080-007-9053-3	https://dl.acm.org/doi/10.1007/s11080-007-9053-3	Keiko Sato, Naoki Fushimi, Masanori Ohya	Open Systems & Information Dynamics (OSID)	01 September 2007
Article	Reusing Program Investigation Knowledge for Code Understanding	reusing program investigation knowledge for code understanding	10.1109/ICPC.2008.10	https://dl.acm.org/doi/10.1109/ICPC.2008.10	Martin P. Robillard, Putra Manggala	ICPC '08: Proceedings of the 2008 The 16th IEEE International Conference on Program Comprehension	10 June 2008
Article	Code Comprehension Activities in Undergraduate Software Engineering Course - A Case Study	code comprehension activities in undergraduate software engineering course a case study	10.1109/ASWEC.2015.18	https://dl.acm.org/doi/10.1109/ASWEC.2015.18	Sai Krishna Sripada, Y. Raghu Reddy	ASWEC '15: Proceedings of the 2015 24th Australasian Software Engineering Conference (ASWEC)	28 September 2015
doctoral_thesis	Expert-Generated and Auto-Generated Socratic Tutoring Systems for Code Comprehension	expertgenerated and autogenerated socratic tutoring systems for code comprehension	10.5555/AAI28648069	https://dl.acm.org/doi/book/10.5555/AAI28648069	Zeyad Alshaikh, Rus, Vasile, Fleming, Scott D., Venugopal, Deepak, Cook, Amy		01 January 2021
research-article	Towards Reliable AI for Source Code Understanding	towards reliable ai for source code understanding	10.1145/3472883.3486995	https://dl.acm.org/doi/10.1145/3472883.3486995	Sahil Suneja, Yunhui Zheng, Yufan Zhuang, Jim A. Laredo, Alessandro Morari	SoCC '21: Proceedings of the ACM Symposium on Cloud Computing	01 November 2021
research-article	Block Model: an educational model of program comprehension as a tool for a scholarly approach to teaching	block model an educational model of program comprehension as a tool for a scholarly approach to teaching	10.1145/1404520.1404535	https://dl.acm.org/doi/10.1145/1404520.1404535	Carsten Schulte	ICER '08: Proceedings of the Fourth international Workshop on Computing Education Research	06 September 2008
research-article	Fold2Vec: Towards a Statement Based Representation of Code for Code Comprehension	fold2vec towards a statement based representation of code for code comprehension	10.1145/3514232	https://dl.acm.org/doi/10.1145/3514232	Francesco Bertolotti, Walter Cazzola	ACM Transactions on Software Engineering and Methodology (TOSEM)	6 January 2022
research-article	An empirical study on the impact of C++ lambdas and programmer experience	an empirical study on the impact of c++ lambdas and programmer experience	10.1145/2884781.2884849	https://dl.acm.org/doi/10.1145/2884781.2884849	Phillip Merlin Uesbeck, Andreas Stefik, Stefan Hanenberg, Jan Pedersen, Patrick Daleiden	ICSE '16: Proceedings of the 38th International Conference on Software Engineering	14 May 2016
Article	FEPSS: A Flexible and Extensible Program Comprehension Support System	fepss a flexible and extensible program comprehension support system	10.5555/832305.837021	https://dl.acm.org/doi/10.5555/832305.837021	T. Lin, L. O'Brien	WCRE '98: Proceedings of the Working Conference on Reverse Engineering (WCRE'98)	12 October 1998
poster	Exploration of the Use of Auditory Cues in Code Comprehension and Navigation for Individuals with Visual Impairments in a Visual Programming Environment	exploration of the use of auditory cues in code comprehension and navigation for individuals with visual impairments in a visual programming environment	10.1145/2982142.2982206	https://dl.acm.org/doi/10.1145/2982142.2982206	Stephanie Ludi, Jamie Simpson, Wil Merchant	ASSETS '16: Proceedings of the 18th International ACM SIGACCESS Conference on Computers and Accessibility	23 October 2016
Article	PUI: A Tool to Support Program Understanding	pui a tool to support program understanding	10.5555/523511.837871	https://dl.acm.org/doi/10.5555/523511.837871	Pui-Shan Chan, Malcolm Munro	WPC '97: Proceedings of the 5th International Workshop on Program Comprehension (WPC '97)	28 May 1997
doctoral_thesis	The effect of comment and code style on software maintenance	the effect of comment and code style on software maintenance	10.5555/194172	https://dl.acm.org/doi/book/10.5555/194172	Roger Bruce Dubbs		11 January 1993
Article	QR Code Style Transfer Method Based on Conditional Instance Regularization	qr code style transfer method based on conditional instance regularization	10.1007/978-3-030-90439-5_2	https://dl.acm.org/doi/10.1007/978-3-030-90439-5_2	Li Haisheng, Huang Huafeng, Xue Fan	Advances in Visual Computing	04 October 2021
Article	Working Session: Tools for Program Comprehension: Building a Comprehender's Workbench	working session tools for program comprehension building a comprehenders workbench	10.5555/518049.856961	https://dl.acm.org/doi/10.5555/518049.856961	Keith Brian Gallagher	IWPC '00: Proceedings of the 8th International Workshop on Program Comprehension	10 June 2000
article	Understanding software through numbers: a metric based approach to program comprehension	understanding software through numbers a metric based approach to program comprehension	10.1002/smr.4360070604	https://dl.acm.org/doi/10.1002/smr.4360070604	Harry M. Sneed	Journal of Software Maintenance: Research and Practice (JSWM)	30 November 1995
article	Subrecursive Programming Languages, Part I: efficiency and program structure	subrecursive programming languages, part i efficiency and program structure	10.1145/321707.321721	https://dl.acm.org/doi/10.1145/321707.321721	Robert L. Constable, Allan B. Borodin	Journal of the ACM (JACM) (JACM)	01 July 1972
research-article	A replication study on code comprehension and expertise using lightweight biometric sensors	a replication study on code comprehension and expertise using lightweight biometric sensors	10.1109/ICPC.2019.00050	https://dl.acm.org/doi/10.1109/ICPC.2019.00050	Davide Fucci, Daniela Girardi, Nicole Novielli, Luigi Quaranta, Filippo Lanubile	ICPC '19: Proceedings of the 27th International Conference on Program Comprehension	25 May 2019
extended-abstract	Enforcing Consistent Code Style in a Repository While Allowing Developer-Specific Preferences in Local Workspaces: An Experience Report	enforcing consistent code style in a repository while allowing developerspecific preferences in local workspaces an experience report	10.1145/3530019.3534985	https://dl.acm.org/doi/10.1145/3530019.3534985	Tjaša Heričko, Boštjan Šumak	EASE '22: Proceedings of the International Conference on Evaluation and Assessment in Software Engineering 2022	13 June 2022
Article	A graph database based crowdsourcing infrastructure for modelling and searching code structure	a graph database based crowdsourcing infrastructure for modelling and searching code structure	10.1145/2677832.2677847	https://dl.acm.org/doi/10.1145/2677832.2677847	Zeqi Lin, Junfeng Zhao, Bing Xie	INTERNETWARE 2014: Proceedings of the 6th Asia-Pacific Symposium on Internetware on Internetware	17 November 2014
Article	Dynamic points-to sets: a comparison with static analyses and potential applications in program understanding and optimization	dynamic pointsto sets a comparison with static analyses and potential applications in program understanding and optimization	10.1145/379605.379671	https://dl.acm.org/doi/10.1145/379605.379671	Markus Mock, Manuvir Das, Craig Chambers, Susan J. Eggers	PASTE '01: Proceedings of the 2001 ACM SIGPLAN-SIGSOFT workshop on Program analysis for software tools and engineering	01 June 2001
Article	Do professional developers benefit from design pattern documentation? a replication in the context of source code comprehension	do professional developers benefit from design pattern documentation a replication in the context of source code comprehension	10.1007/978-3-642-33666-9_13	https://dl.acm.org/doi/10.1007/978-3-642-33666-9_13	Carmine Gravino, Michele Risi, Giuseppe Scanniello, Genoveffa Tortora	MODELS'12: Proceedings of the 15th international conference on Model Driven Engineering Languages and Systems	30 September 2012
poster	Code structure difficulty in OOP: an exploration study regarding basic cognitive processes	code structure difficulty in oop an exploration study regarding basic cognitive processes	10.1145/3141880.3141913	https://dl.acm.org/doi/10.1145/3141880.3141913	Mike Barkmin, Matthias Kramer, David Tobinski, Torsten Brinda	Koli Calling '17: Proceedings of the 17th Koli Calling International Conference on Computing Education Research	16 November 2017
article	The programmer as navigator: a discourse on program structure	the programmer as navigator a discourse on program structure	10.1145/988227.988236	https://dl.acm.org/doi/10.1145/988227.988236	C. K. Yuen	ACM SIGPLAN Notices (SIGPLAN)	01 September 1983
article	Book review: Techniques of program structure and design	book review techniques of program structure and design	10.1016/0096-0551%2876%2990012-6	https://dl.acm.org/doi/10.1016/0096-0551%2876%2990012-6		Computer Languages (CLAN)	01 January 1976
article	Improved cognitive information complexity measure: a metric that establishes program comprehension effort	improved cognitive information complexity measure a metric that establishes program comprehension effort	10.1145/1163514.1163533	https://dl.acm.org/doi/10.1145/1163514.1163533	Dharmender Singh Kushwaha, A. K. Misra	ACM SIGSOFT Software Engineering Notes (SIGSOFT)	01 September 2006
article	ACM Forum: Invocation - the key to program structure	acm forum invocation the key to program structure	10.1145/360238.360246	https://dl.acm.org/doi/10.1145/360238.360246		Communications of the ACM (CACM)	01 June 1976
research-article	Corrections to "The Effectiveness of Control Structure Diagrams in Source Code Comprehension Activities"	corrections to the effectiveness of control structure diagrams in source code comprehension activities	10.1109/TSE.2002.1010064	https://dl.acm.org/doi/10.1109/TSE.2002.1010064	Dean Hendrix, James H. Cross, Saeed Maghsoodloo	IEEE Transactions on Software Engineering (ISOF)	01 June 2002
article	Do software models based on the UML aid in source-code comprehensibility? Aggregating evidence from 12 controlled experiments	do software models based on the uml aid in sourcecode comprehensibility aggregating evidence from 12 controlled experiments	10.1007/s10664-017-9591-4	https://dl.acm.org/doi/10.1007/s10664-017-9591-4	Giuseppe Scanniello, Carmine Gravino, Marcela Genero, José A. Cruz-Lemus, Genoveffa Tortora, Michele Risi, Gabriella Dodero	Empirical Software Engineering (KLU-EMSE)	01 October 2018
poster	An empirical investigation on the relation between analysis models and source code comprehension	an empirical investigation on the relation between analysis models and source code comprehension	10.1145/1774088.1774576	https://dl.acm.org/doi/10.1145/1774088.1774576	Carmine Gravino, Genoveffa Tortora, Giuseppe Scanniello	SAC '10: Proceedings of the 2010 ACM Symposium on Applied Computing	22 March 2010
Article	POSH: a TLS compiler that exploits program structure	posh a tls compiler that exploits program structure	10.1145/1122971.1122997	https://dl.acm.org/doi/10.1145/1122971.1122997	Wei Liu, James Tuck, Luis Ceze, Wonsun Ahn, Karin Strauss, Jose Renau, Josep Torrellas	PPoPP '06: Proceedings of the eleventh ACM SIGPLAN symposium on Principles and practice of parallel programming	29 March 2006
abstract	Engaging African American Elementary School Children in Code Understanding	engaging african american elementary school children in code understanding	10.1145/3287324.3293715	https://dl.acm.org/doi/10.1145/3287324.3293715	Olivia Nche	SIGCSE '19: Proceedings of the 50th ACM Technical Symposium on Computer Science Education	22 February 2019
research-article	An intervention strategy to hone students' code understanding skills	an intervention strategy to hone students code understanding skills	10.5555/3144687.3144714	https://dl.acm.org/doi/10.5555/3144687.3144714	Benito Mendoza, Laura Zavala	Journal of Computing Sciences in Colleges (JCSC)	01 January 2018
Article	Code Understanding through Program Transformation for Reusable Component Identification	code understanding through program transformation for reusable component identification	10.5555/523511.837882	https://dl.acm.org/doi/10.5555/523511.837882	Hongji Yang, Paul Luker, William C. Chu	WPC '97: Proceedings of the 5th International Workshop on Program Comprehension (WPC '97)	28 May 1997
research-article	Novice code understanding strategies during a software maintenance assignment	novice code understanding strategies during a software maintenance assignment	10.5555/2819009.2819052	https://dl.acm.org/doi/10.5555/2819009.2819052	Claudia Szabo	ICSE '15: Proceedings of the 37th International Conference on Software Engineering - Volume 2	16 May 2015
Article	Learning to learn programs from examples: going beyond program structure	learning to learn programs from examples going beyond program structure	10.5555/3172077.3172115	https://dl.acm.org/doi/10.5555/3172077.3172115	Kevin Ellis, Sumit Gulwani	IJCAI'17: Proceedings of the 26th International Joint Conference on Artificial Intelligence	19 August 2017
Article	Selecting Software Phase Markers with Code Structure Analysis	selecting software phase markers with code structure analysis	10.1109/CGO.2006.32	https://dl.acm.org/doi/10.1109/CGO.2006.32	Jeremy Lau, Erez Perelman, Brad Calder	CGO '06: Proceedings of the International Symposium on Code Generation and Optimization	26 March 2006
Article	Lackwit: a program understanding tool based on type inference	lackwit a program understanding tool based on type inference	10.1145/253228.253351	https://dl.acm.org/doi/10.1145/253228.253351	Robert O'Callahan, Daniel Jackson	ICSE '97: Proceedings of the 19th international conference on Software engineering	01 May 1997
Article	Tactile Programming: A Unified Manipulation Paradigm Supporting Program Comprehension, Composition and Sharing	tactile programming a unified manipulation paradigm supporting program comprehension, composition and sharing	10.5555/832277.834359	https://dl.acm.org/doi/10.5555/832277.834359	Alexander Repenning, James Ambach	VL '96: Proceedings of the 1996 IEEE Symposium on Visual Languages	03 September 1996
Article	Towards a Tool for Rigorous, Automated Code Comprehension Using Symbolic Execution and Semantic Analysis	towards a tool for rigorous, automated code comprehension using symbolic execution and semantic analysis	10.1109/SEW.2005.46	https://dl.acm.org/doi/10.1109/SEW.2005.46	Mark E.  M. Stewart	SEW '05: Proceedings of the 29th Annual IEEE/NASA on Software Engineering Workshop	06 April 2005
Article	Working Session: Program Comprehension Strategies for Web Service and Service-oriented Architectures	working session program comprehension strategies for web service and serviceoriented architectures	10.5555/998682.1006845	https://dl.acm.org/doi/10.5555/998682.1006845		IWPC '04: Proceedings of the 12th IEEE International Workshop on Program Comprehension	24 June 2004
Article	Layered Program Auralization: Using Music to Increase Runtime Program Comprehension and Debugging Effectiveness	layered program auralization using music to increase runtime program comprehension and debugging effectiveness	10.1109/ICPC.2006.33	https://dl.acm.org/doi/10.1109/ICPC.2006.33	Andreas Stefik, Kelly Fitz, Roger Alexander	ICPC '06: Proceedings of the 14th IEEE International Conference on Program Comprehension	14 June 2006
research-article	A fast-decodable code structure for linear dispersion codes	a fastdecodable code structure for linear dispersion codes	10.1109/TWC.2009.080841	https://dl.acm.org/doi/10.1109/TWC.2009.080841	X. G. Dai, S. W. Cheung, T. I. Yuk	IEEE Transactions on Wireless Communications (TWC)	01 September 2009
Article	Evolving Ispell: A Case Study of Program Understanding for Reuse	evolving ispell a case study of program understanding for reuse	10.5555/580131.856994	https://dl.acm.org/doi/10.5555/580131.856994	Lerina Aversano, Gerardo Canfora, Andrea De Lucia, Silvio Stefanucci	IWPC '02: Proceedings of the 10th International Workshop on Program Comprehension	27 June 2002
abstract	Looks can mean achieving: understanding eye gaze patterns of proficiency in code comprehension	looks can mean achieving understanding eye gaze patterns of proficiency in code comprehension	10.1145/3314111.3322876	https://dl.acm.org/doi/10.1145/3314111.3322876	Jonathan A. Saddler	ETRA '19: Proceedings of the 11th ACM Symposium on Eye Tracking Research & Applications	25 June 2019
Article	Folding: An Approach to Enable Program Understanding of Preprocessed Languages	folding an approach to enable program understanding of preprocessed languages	10.5555/832308.837161	https://dl.acm.org/doi/10.5555/832308.837161	Bernt Kullbach, Volker Riediger	WCRE '01: Proceedings of the Eighth Working Conference on Reverse Engineering (WCRE'01)	02 October 2001
Article	An Early Investigation on the Contribution of Class and Sequence Diagrams in Source Code Comprehension	an early investigation on the contribution of class and sequence diagrams in source code comprehension	10.1109/CSMR.2013.51	https://dl.acm.org/doi/10.1109/CSMR.2013.51	Giuseppe Scanniello, Carmine Gravino, Genoveffa Tortora	CSMR '13: Proceedings of the 2013 17th European Conference on Software Maintenance and Reengineering	05 March 2013
research-article	Gaze behaviour in computer programmers with dyslexia: considerations regarding code style, layout and crowding	gaze behaviour in computer programmers with dyslexia considerations regarding code style, layout and crowding	10.1145/3216723.3216724	https://dl.acm.org/doi/10.1145/3216723.3216724	Ian McChesney, Raymond Bond	EMIP '18: Proceedings of the Workshop on Eye Movements in Programming	15 June 2018
Article	Backward Conditioning: A New Program Specialisation Technique and Its Application to Program Comprehension	backward conditioning a new program specialisation technique and its application to program comprehension	10.5555/876902.881293	https://dl.acm.org/doi/10.5555/876902.881293		IWPC '01: Proceedings of the 9th International Workshop on Program Comprehension	12 May 2001
research-article	Bridging pre-trained models and downstream tasks for source code understanding	bridging pretrained models and downstream tasks for source code understanding	10.1145/3510003.3510062	https://dl.acm.org/doi/10.1145/3510003.3510062	Deze Wang, Zhouyang Jia, Shanshan Li, Yue Yu, Yun Xiong, Wei Dong, Xiangke Liao	ICSE '22: Proceedings of the 44th International Conference on Software Engineering	21 May 2022
research-article	Does the combined use of class and sequence diagrams improve the source code comprehension?: results from a controlled experiment	does the combined use of class and sequence diagrams improve the source code comprehension results from a controlled experiment	10.1145/2424563.2424569	https://dl.acm.org/doi/10.1145/2424563.2424569	Giuseppe Scanniello, Carmine Gravino, Genoveffa Tortora	EESSMod '12: Proceedings of the Second Edition of the International Workshop on Experiences and Empirical Studies in Software Modelling	01 October 2012
doctoral_thesis	Convolutional code structure and the performance of the viterbi algorithm.	convolutional code structure and the performance of the viterbi algorithm.	10.5555/908247	https://dl.acm.org/doi/book/10.5555/908247	Farhad Hemmati		01 January 1977
Article	Application Architecture Discovery - Towards Domain-driven, Easily-Extensible Code Structure	application architecture discovery towards domaindriven, easilyextensible code structure	10.1109/WCRE.2011.56	https://dl.acm.org/doi/10.1109/WCRE.2011.56	Hitesh Sajnani, Ravindra Naik, Cristina Lopes	WCRE '11: Proceedings of the 2011 18th Working Conference on Reverse Engineering	17 October 2011
doctoral_thesis	Development of a process simulator using object-oriented programming: information modeling and program structure	development of a process simulator using objectoriented programming information modeling and program structure	10.5555/171114	https://dl.acm.org/doi/book/10.5555/171114	Gadiraju V. Varma		01 January 1992
demonstration	MetropolJS: visualizing and debugging large-scale javascript program structure with treemaps	metropoljs visualizing and debugging largescale javascript program structure with treemaps	10.1145/3196321.3196368	https://dl.acm.org/doi/10.1145/3196321.3196368	Joshua D Scarsbrook, Ryan K L Ko, Bill Rogers, David Bainbridge	ICPC '18: Proceedings of the 26th Conference on Program Comprehension	28 May 2018
Article	gccXfront: Exploiting gcc as a Front End for Program Comprehension Tools via XML/XSLT	gccxfront exploiting gcc as a front end for program comprehension tools via xml/xslt	10.5555/851042.857033	https://dl.acm.org/doi/10.5555/851042.857033	Mark Hennessy, Brian A. Malloy, James F. Power	IWPC '03: Proceedings of the 11th IEEE International Workshop on Program Comprehension	10 May 2003
research-article	Documenting Design-Pattern Instances: A Family of Experiments on Source-Code Comprehensibility	documenting designpattern instances a family of experiments on sourcecode comprehensibility	10.1145/2699696	https://dl.acm.org/doi/10.1145/2699696	Giuseppe Scanniello, Carmine Gravino, Michele Risi, Genoveffa Tortora, Gabriella Dodero	ACM Transactions on Software Engineering and Methodology (TOSEM)	13 May 2015
Article	Working Session: Program Comprehension and Migration Strategies for Web Service and Service-Oriented Architectures	working session program comprehension and migration strategies for web service and serviceoriented architectures	10.1109/ICPC.2006.52	https://dl.acm.org/doi/10.1109/ICPC.2006.52	Dennis Smith, Liam O'Brien, Kostas Kontogiannis	ICPC '06: Proceedings of the 14th IEEE International Conference on Program Comprehension	14 June 2006
Article	Does the Documentation of Design Pattern Instances Impact on Source Code Comprehension? Results from Two Controlled Experiments	does the documentation of design pattern instances impact on source code comprehension results from two controlled experiments	10.1109/WCRE.2011.18	https://dl.acm.org/doi/10.1109/WCRE.2011.18	Carmine Gravino, Michele Risi, Giuseppe Scanniello, Genoveffa Tortora	WCRE '11: Proceedings of the 2011 18th Working Conference on Reverse Engineering	17 October 2011
research-article	Use of a sequential decoder to analyze convolutional code structure (Corresp.)	use of a sequential decoder to analyze convolutional code structure (corresp.)	10.1109/TIT.1970.1054539	https://dl.acm.org/doi/10.1109/TIT.1970.1054539	G. Forney	IEEE Transactions on Information Theory (ITHR)	01 September 2006
Article	Evaluating the Reliability of Web Services Based on BPEL Code Structure Analysis and Run-Time Information Capture	evaluating the reliability of web services based on bpel code structure analysis and runtime information capture	10.1109/APSEC.2010.32	https://dl.acm.org/doi/10.1109/APSEC.2010.32	Bixin Li, Xiaocong Fan, Ying Zhou, Ziyong Su	APSEC '10: Proceedings of the 2010 Asia Pacific Software Engineering Conference	30 November 2010
doctoral_thesis	Programming plan abstraction: a cognitively motivated approach to program understanding using dependence analysis	programming plan abstraction a cognitively motivated approach to program understanding using dependence analysis	10.5555/222015	https://dl.acm.org/doi/book/10.5555/222015	Eng-Siong Tan		15 December 1994
Article	An efficient LDPC code structure combined with the concept of difference family	an efficient ldpc code structure combined with the concept of difference family	10.1145/1143549.1143790	https://dl.acm.org/doi/10.1145/1143549.1143790	Yuan-Jih Chu, Sau-Gee Chen	IWCMC '06: Proceedings of the 2006 international conference on Wireless communications and mobile computing	03 July 2006
research-article	STYLE-ANALYZER: fixing code style inconsistencies with interpretable unsupervised algorithms	styleanalyzer fixing code style inconsistencies with interpretable unsupervised algorithms	10.1109/MSR.2019.00073	https://dl.acm.org/doi/10.1109/MSR.2019.00073	Vadim Markovtsev, Waren Long, Hugo Mougard, Konstantin Slavnov, Egor Bulychev	MSR '19: Proceedings of the 16th International Conference on Mining Software Repositories	26 May 2019
research-article	Convolutional code structure and the performance of the Viterbi algorithm (Ph.D. Thesis abstr.)	convolutional code structure and the performance of the viterbi algorithm (ph.d. thesis abstr.)	10.1109/TIT.1978.1055869	https://dl.acm.org/doi/10.1109/TIT.1978.1055869	F. Hemmati	IEEE Transactions on Information Theory (ITHR)	01 September 2006
Article	COCONUT: COde COmprehension Nurturant Using Traceability	coconut code comprehension nurturant using traceability	10.1109/ICSM.2006.19	https://dl.acm.org/doi/10.1109/ICSM.2006.19	Andrea De Lucia, Massimiliano Di Penta, Rocco Oliveto, Francesco Zurolo	ICSM '06: Proceedings of the 22nd IEEE International Conference on Software Maintenance	24 September 2006
Article	Source code comprehension strategies and metrics to predict comprehension effort in software maintenance and evolution tasks - an empirical study with industry practitioners	source code comprehension strategies and metrics to predict comprehension effort in software maintenance and evolution tasks an empirical study with industry practitioners	10.1109/ICSM.2011.6080814	https://dl.acm.org/doi/10.1109/ICSM.2011.6080814	Kazuki Nishizono, Shuji Morisakl, Rodrigo Vivanco, Kenichi Matsumoto	ICSM '11: Proceedings of the 2011 27th IEEE International Conference on Software Maintenance	25 September 2011
Article	New Code Structure for Enhanced Double Weight (EDW) Code for Spectral Amplitude Coding OCDMA System	new code structure for enhanced double weight (edw) code for spectral amplitude coding ocdma system	10.1109/ICFCC.2009.26	https://dl.acm.org/doi/10.1109/ICFCC.2009.26	Ali Z.  Gahzi Zahid, Feras N. Hasoon, Sahbudin Shaari	ICFCC '09: Proceedings of the 2009 International Conference on Future Computer and Communication	03 April 2009
