type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
article,1829654,Jun  Sawamoto and Eiji  Sugino and Norihisa  Segawa and Yuji  Wada,,,,Program Learning Using Static Information and Dynamic Program Execution Slices,157--162,,6,"program understanding, program learning, execution history, program reuse, program maintenance",10.1109/WAINA.2010.15,,,,,,,2010,,Proceedings of the 2010 IEEE 24th International Conference on Advanced Information Networking and Applications Workshops,WAINA '10,,978-0-7695-4019-1,,IEEE Computer Society,"Washington, DC, USA"
article,1791197,Jason  Mars and Mary Lou Soffa,,,,Synthesizing Contention,17--25,,9,"contention, cross-core interference, multicore, profiling framework, program understanding",10.1145/1791194.1791197,,,,,,,2009,,Proceedings of the Workshop on Binary Instrumentation and Applications,WBIA '09,,978-1-60558-793-6,"New York, New York, USA",ACM,"New York, NY, USA"
article,2057245,Zephyrin  Soh,,,,Context and Vision: Studying Two Factors Impacting Program Comprehension,258--261,,4,"Program comprehension, cognitive process, vision science, program context",10.1109/ICPC.2011.37,,,,,,,2011,,Proceedings of the 2011 IEEE 19th International Conference on Program Comprehension,ICPC '11,,978-0-7695-4398-7,,IEEE Computer Society,"Washington, DC, USA"
article,655857,Roberto  Fiutem and Paolo  Tonella and Giuliano  Antoniol and Ettore  Merlo,,,,A Cliche'-Based Environment to Support Architectural Reverse Engineering,319--328,,10,"program understanding, software architectures, reverse engineering, flow analysis, user interface.",,,,,,,,1996,,Proceedings of the 1996 International Conference on Software Maintenance,ICSM '96,,0-8186-7677-9,,IEEE Computer Society,"Washington, DC, USA"
article,2175297,Awny  Alnusair and Tian  Zhao,,,,Using Ontology Reasoning for Reverse Engineering Design Patterns,344--358,,15,"design patterns, knowledge representation, program understanding, semantic reasoning, software ontology",10.1007/978-3-642-12261-3_32,,,,,,,2010,,Proceedings of the 2009 International Conference on Models in Software Engineering,MODELS'09,,"3-642-12260-4, 978-3-642-12260-6","Denver, CO",Springer-Verlag,"Berlin, Heidelberg"
article,724787,Thomas  Zimmermann and Andreas  Zeller,,,,Visualizing Memory Graphs,191--204,,14,"data types and structures, debugging aids, diagnostics, graphs, program understanding",,,,,,,,2002,,"Revised Lectures on Software Visualization, International Seminar",,,3-540-43323-6,,Springer-Verlag,"London, UK, UK"
article,1322405,Linda  Mannila,,,,Novices' Progress in Introductory Programming Courses,139--152,,14,"SOLO study, introductory programming, learning programming, program understanding",,Informatics in education,January 2007,6,1,,January,2007,1648-5831,,,,,,Institute of Mathematics and Informatics,"Vilnius, Lithuania"
article,848644,Yoshio  Kataoka and David  Notkin and Michael D. Ernst and William G. Griswold,,,,Automated Support for Program Refactoring Using Invariants,736--,,,"program understanding, refactoring, invariant, readability, maintainability, static analysis, dynamic analysis",10.1109/ICSM.2001.972794,,,,,,,2001,,Proceedings of the IEEE International Conference on Software Maintenance (ICSM'01),ICSM '01,,0-7695-1189-9,,IEEE Computer Society,"Washington, DC, USA"
article,3299067,Jane  Hoffswell,,,,Languages & Visualizations to Enable Effective End User Programming,DC08:1--DC08:5,DC08,5,"constraints, debugging, end user programming, graph layout, program understanding, visualization",10.1145/3290607.3299067,,,,,,,2019,,Extended Abstracts of the 2019 CHI Conference on Human Factors in Computing Systems,CHI EA '19,,978-1-4503-5971-9,"Glasgow, Scotland Uk",ACM,"New York, NY, USA"
article,1718149,Nadim  Asif and Faisal  Shahzad and Najia  Saher and Rafaquet  Kazami and Waseem  Nazar,,,,Artifacts Recovery and Understanding Using High Level Models,1830--1839,,10,"design recovery, program understanding, re-engineering, reverse engineering, software maintenance",,WSEAS Trans. Info. Sci. and App.,November 2009,6,11,,November,2009,1790-0832,,,,,,World Scientific and Engineering Academy and Society (WSEAS),"Stevens Point, Wisconsin, USA"
article,249939,Norman  Wilde and Michael C. Scully,,,,Software Reconnaissance: Mapping Program Features to Code,49--62,,14,"dynamic methods, program understanding, requirements traceability, reverse-engineering, software maintenance",10.1002/smr.4360070105,Journal of Software Maintenance,Jan.-Feb. 1995,7,1,,January,1995,1040-550X,,,,,,"John Wiley &amp; Sons, Inc.","New York, NY, USA"
article,265626,K. A. Kontogiannis and R.  Demori and E.  Merlo and M.  Galler and M.  Bernstein,,,,Pattern Matching for Clone and Concept Detection,77--108,,32,"dynamic programming, pattern matching, program understanding, reverse engineering, software metrics",,,,,,,,,,Reverse Engineering,,,0-7923-9756-8,,Kluwer Academic Publishers,"Norwell, MA, USA"
article,836969,Jean-Luc  Hainaut and Jean  Henrard and Didier  Roland and Vincent  Englebert and Jean-Marc  Hick,,,,Structure Elicitation in Database Reverse Engineering,131--,,,"software engineering, reverse engineering, program understanding, database, CASE tool",,,,,,,,1996,,Proceedings of the 3rd Working Conference on Reverse Engineering (WCRE '96),WCRE '96,,0-8186-7674-4,,IEEE Computer Society,"Washington, DC, USA"
article,1091866,Giuliano  Antoniol and Yann-Gael  Gueheneuc,,,,Feature Identification: A Novel Approach and a Case Study,357--366,,10,"Program understanding, dynamic and static analyses, feature analysis, meta-modelling",10.1109/ICSM.2005.48,,,,,,,2005,,Proceedings of the 21st IEEE International Conference on Software Maintenance,ICSM '05,,0-7695-2368-4,,IEEE Computer Society,"Washington, DC, USA"
article,253356,Dean F. Jerding and John T. Stasko and Thomas  Ball,,,,Visualizing Interactions in Program Executions,360--370,,11,"object-oriented software engineering, program understanding, reverse engineering, software visualization",10.1145/253228.253356,,,,,,,1997,,Proceedings of the 19th International Conference on Software Engineering,ICSE '97,,0-89791-914-9,"Boston, Massachusetts, USA",ACM,"New York, NY, USA"
article,858913,Paul  Anderson and Thomas  Reps and Tim  Teitelbaum and Mark  Zarins,,,,Tool Support for Fine-Grained Software Inspection,42--50,,9,"software inspection, dependence graphs, program understanding, slicing, chopping",10.1109/MS.2003.1207453,IEEE Softw.,July 2003,20,4,,July,2003,0740-7459,,,,,,IEEE Computer Society Press,"Los Alamitos, CA, USA"
article,2683136,Latifa  Guerrouj and Massimiliano  Penta and Yann-Ga&#235;l  Gu&#233;h&#233;neuc and Giuliano  Antoniol,,,,An Experimental Investigation on the Effects of Context on Source Code Identifiers Splitting and Expansion,1706--1753,,48,"Identifier splitting and expansion, Program understanding, Task context",10.1007/s10664-013-9260-1,Empirical Softw. Engg.,December  2014,19,6,,December,2014,1382-3256,,,,,,Kluwer Academic Publishers,"Hingham, MA, USA"
article,2086236,Surafel Lemma Abebe and Paolo  Tonella,,,,Towards the Extraction of Domain Concepts from the Identifiers,77--86,,10,"Program understanding, ontology extraction, domain concept filtering, information retrieval",10.1109/WCRE.2011.19,,,,,,,2011,,Proceedings of the 2011 18th Working Conference on Reverse Engineering,WCRE '11,,978-0-7695-4582-0,,IEEE Computer Society,"Washington, DC, USA"
article,962309,Hausi A. M&#252;ller and Scott R. Tilley and Kenny  Wong,,,,Understanding Software Systems Using Reverse Engineering Technology Perspectives from the Rigi Project,217--226,,10,"legacy software, program understanding, reverse engineering, software evolution",,,,,,,,1993,,Proceedings of the 1993 Conference of the Centre for Advanced Studies on Collaborative Research: Software Engineering - Volume 1,CASCON '93,,,"Toronto, Ontario, Canada",IBM Press,
article,2863035,Florian  Fittkau and Santje  Finke and Wilhelm  Hasselbring and Jan  Waller,,,,Comparing Trace Visualizations for Program Comprehension Through Controlled Experiments,266--276,,11,"Software Visualization, Controlled Experiment, Trace Visualization, Program Comprehension",10.1109/ICPC.2015.37,,,,,,,2015,,Proceedings of the 2015 IEEE 23rd International Conference on Program Comprehension,ICPC '15,,978-1-4673-8159-8,,IEEE Computer Society,"Washington, DC, USA"
article,856973,Jorma  Sajaniemi,,,,Program Comprehension Through Multiple Simultaneous Views: A Session with VinEd,99--,,,"Program comprehension, multiple-view editor, programming tool evaluation",,,,,,,,2000,,Proceedings of the 8th International Workshop on Program Comprehension,IWPC '00,,0-7695-0656-9,,IEEE Computer Society,"Washington, DC, USA"
article,856958,David  Binkley and L. Ross Raszewski and Christopher  Smith and Mark  Harman,,,,An Empirical Study of Amorphous Slicing As a Program Comprehension Support Tool,161--,,,"slicing, empirical validation, amorphous slicing, arrays, program comprehension",,,,,,,,2000,,Proceedings of the 8th International Workshop on Program Comprehension,IWPC '00,,0-7695-0656-9,,IEEE Computer Society,"Washington, DC, USA"
article,3122824,Wilberto Z.  Nunez and Victor J.  Marin and Carlos R.  Rivero,,,,ARCC: Assistant for Repetitive Code Comprehension,999--1003,,5,"Eclipse, Program Comprehension, Program Dependence Graph, Subgraph Matching",10.1145/3106237.3122824,,,,,,,2017,,Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering,ESEC/FSE 2017,,978-1-4503-5105-8,"Paderborn, Germany",ACM,"New York, NY, USA"
article,334880,Dean  Jerding and Spencer  Rugaber,,,,Using Visualization for Architectural Localization and Extraction,267--284,,18,"dynamic analysis, program understanding, software architecture extraction, software visualization",10.1016/S0167-6423(99)00038-6,Sci. Comput. Program.,March 2000,36,2-3,,March,2000,0167-6423,,,,,,"Elsevier North-Holland, Inc.","Amsterdam, The Netherlands, The Netherlands"
article,1363663,Nor Fazlida Mohd Sani and Abdullah Mohd Zin and Sufian  Idris and Zarina  Shukur,,,,Designing an Understanding and Debugging Tool (UDT) for Object-oriented Programming Language,21:1--21:6,21,6,"Java, object-oriented programming, program understanding and debugging",,,,,,,,2005,,"Proceedings of the 4th WSEAS International Conference on Artificial Intelligence, Knowledge Engineering Data Bases",AIKED'05,,960-8457-09-2,"Salzburg, Austria",World Scientific and Engineering Academy and Society (WSEAS),"Stevens Point, Wisconsin, USA"
article,1021420,Tudor  Girba and St&#233;phane  Ducasse and Michele  Lanza,,,,Yesterday's Weather: Guiding Early Reverse Engineering Efforts by Summarizing the Evolution of Changes,40--49,,10,"software evolution, reverse engineering, object-oriented programming, program understanding",,,,,,,,2004,,Proceedings of the 20th IEEE International Conference on Software Maintenance,ICSM '04,,0-7695-2213-0,,IEEE Computer Society,"Washington, DC, USA"
article,630933,Gail C. Murphy and David  Notkin and Kevin J. Sullivan,,,,Software Reflexion Models: Bridging the Gap Between Design and Implementation,364--380,,17,"Reverse engineering, program understanding, software structure, program representation, model differencing.",10.1109/32.917525,IEEE Trans. Softw. Eng.,April 2001,27,4,,April,2001,0098-5589,,,,,,IEEE Press,"Piscataway, NJ, USA"
article,802559,Anne  Adam and Paul  Gloess and Jean-Pierre  Laurent,,,,An Interactive Tool for Program Manipulation,460--468,,9,"Debugging, Graph of program, Maintenance, Program transformations, Program understanding",,,,,,,,1981,,Proceedings of the 5th International Conference on Software Engineering,ICSE '81,,0-89791-146-6,"San Diego, California, USA",IEEE Press,"Piscataway, NJ, USA"
article,2480600,Celal  Ziftci and Ingolf  Kr&#252;ger,,,,Test Intents: Enhancing the Semantics of Requirements Traceability Links in Test Cases,1272--1277,,6,"automated analysis, program understanding, requirements traceability, reverse engineering, testing",10.1145/2480362.2480600,,,,,,,2013,,Proceedings of the 28th Annual ACM Symposium on Applied Computing,SAC '13,,978-1-4503-1656-9,"Coimbra, Portugal",ACM,"New York, NY, USA"
article,2048243,Roman  Kn&#246;ll and Vaidas  Gasiunas and Mira  Mezini,,,,Naturalistic Types,33--48,,16,"natural language programming, naturalistic programming, readability, referencing, types, understandability",10.1145/2048237.2048243,,,,,,,2011,,"Proceedings of the 10th SIGPLAN Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software",Onward! 2011,,978-1-4503-0941-7,"Portland, Oregon, USA",ACM,"New York, NY, USA"
article,2597141,Danilo  Silva and Ricardo  Terra and Marco Tulio  Valente,,,,Recommending Automated Extract Method Refactorings,146--156,,11,"Extract Method, Program comprehension supporting tools, Refactoring, Self-documenting methods",10.1145/2597008.2597141,,,,,,,2014,,Proceedings of the 22Nd International Conference on Program Comprehension,ICPC 2014,,978-1-4503-2879-1,"Hyderabad, India",ACM,"New York, NY, USA"
article,3339081,Eliane S. Wiese and Anna N. Rafferty and Daniel M. Kopta and Jacqulyn M. Anderson,,,,Replicating Novices' Struggles with Coding Style,13--18,,6,"computer science education, novice code comprehension, programming style",10.1109/ICPC.2019.00015,,,,,,,2019,,Proceedings of the 27th International Conference on Program Comprehension,ICPC '19,,,"Montreal, Quebec, Canada",IEEE Press,"Piscataway, NJ, USA"
article,2436136,Dave  Binkley and Marcia  Davis and Dawn  Lawrie and Jonathan I. Maletic and Christopher  Morrell and Bonita  Sharif,,,,The Impact of Identifier Style on Effort and Comprehension,219--276,,58,"Code readability, Coding standards, Eye-tracking study, Identifier names, Identifier styles, Memory, Program comprehension, Text recognition",10.1007/s10664-012-9201-4,Empirical Softw. Engg.,April     2013,18,2,,April,2013,1382-3256,,,,,,Kluwer Academic Publishers,"Hingham, MA, USA"
article,1438612,Martin  Feilkas and Daniel  Ratiu,,,,Ensuring Well-Behaved Usage of APIs Through Syntactic Constraints,248--253,,6,"Syntactic Constraints, Static Analysis, Program Comprehension",10.1109/ICPC.2008.12,,,,,,,2008,,Proceedings of the 2008 The 16th IEEE International Conference on Program Comprehension,ICPC '08,,978-0-7695-3176-2,,IEEE Computer Society,"Washington, DC, USA"
article,2627517,Xiangyue  Liu and Xiaobing  Sun and Bin  Li,,,,Top-down Program Comprehension with Multi-layer Clustering Based on LDA,56--59,,4,"LDA, Muti-layer Clustering, Program comprehension",10.1145/2627508.2627517,,,,,,,2014,,Proceedings of the 2014 3rd International Workshop on Evidential Assessment of Software Technologies,EAST 2014,,978-1-4503-2965-1,"Nanjing, China",ACM,"New York, NY, USA"
article,3101422,Eran  Avidan and Dror G. Feitelson,,,,Effects of Variable Names on Comprehension an Empirical Study,55--65,,11,"code comprehension, local variables, method parameters, misleading names, variable names",10.1109/ICPC.2017.27,,,,,,,2017,,Proceedings of the 25th International Conference on Program Comprehension,ICPC '17,,978-1-5386-0535-6,"Buenos Aires, Argentina",IEEE Press,"Piscataway, NJ, USA"
article,857047,Juergen  Rilling and Tuomas  Klemola,,,,Identifying Comprehension Bottlenecks Using Program Slicing and Cognitive Complexity Metrics,115--,,,"complexity measures, program comprehension, program slicing",,,,,,,,2003,,Proceedings of the 11th IEEE International Workshop on Program Comprehension,IWPC '03,,0-7695-1883-4,,IEEE Computer Society,"Washington, DC, USA"
article,1679992,Teemu  Kanstren,,,,Program Comprehension for User-Assisted Test Oracle Generation,118--127,,10,"test oracle, program comprehension, test automation",10.1109/ICSEA.2009.26,,,,,,,2009,,Proceedings of the 2009 Fourth International Conference on Software Engineering Advances,ICSEA '09,,978-0-7695-3777-1,,IEEE Computer Society,"Washington, DC, USA"
article,3338801,Toyomi  Ishida and Hidetake  Uwano,,,,Synchronized Analysis of Eye Movement and EEG During Program Comprehension,26--32,,7,"EEG, eye movement, program comprehension, synchronized analysis",10.1109/EMIP.2019.00012,,,,,,,2019,,Proceedings of the 6th International Workshop on Eye Movements in Programming,EMIP '19,,,"Montreal, Quebec, Canada",IEEE Press,"Piscataway, NJ, USA"
article,1175848,Yonggang  Zhang and Rene  Witte and Juergen  Rilling and Volker  Haarslev,,,,Ontology-based Program Comprehension Tool Supporting Website Architectural Evolution,41--49,,9,"Program Comprehension, Software Evolution, Ontology, Automated Reasoning",10.1109/WSE.2006.15,,,,,,,2006,,Proceedings of the Eighth IEEE International Symposium on Web Site Evolution,WSE '06,,0-7695-2696-9,,IEEE Computer Society,"Washington, DC, USA"
article,1962778,Alberto  Bacchelli and Michele  Lanza and Vitezslav  Humpa,,,,RTFM (Read the Factual Mails) - Augmenting Program Comprehension with Remail,15--24,,10,"email, program comprehension, remail, IDE plugin",10.1109/CSMR.2011.6,,,,,,,2011,,Proceedings of the 2011 15th European Conference on Software Maintenance and Reengineering,CSMR '11,,978-0-7695-4343-7,,IEEE Computer Society,"Washington, DC, USA"
article,2089171,Tim  Frey and Marius  Gelhausen and Gunter  Saake,,,,Categorization of Concerns: A Categorical Program Comprehension Model,73--82,,10,"categorization, program comprehension, separation of concerns",10.1145/2089155.2089171,,,,,,,2011,,Proceedings of the 3rd ACM SIGPLAN Workshop on Evaluation and Usability of Programming Languages and Tools,PLATEAU '11,,978-1-4503-1024-6,"Portland, Oregon, USA",ACM,"New York, NY, USA"
article,1475531,Erkki  Laitila and Steve  Legrand,,,,Symbolic Reductionist Model for Program Comprehension,363--372,,10,"symbolic analysis, program comprehension, reverse engineering",10.1109/MICAI.2007.7,,,,,,,2007,,"Proceedings of the 2007 Sixth Mexican International Conference on Artificial Intelligence, Special Session",MICAI '07,,978-0-7695-3124-3,,IEEE Computer Society,"Washington, DC, USA"
article,1339344,J.  Rilling and V.  Nguyen,,,,Applying Code Analysis and 3D Design Pattern Grouping to Facilitate Program Comprehension,33--,,,"design patterns, 3D visualization, program comprehension",10.1109/VISSOF.2005.1684320,,,,,,,2005,,Proceedings of the 3rd IEEE International Workshop on Visualizing Software for Understanding and Analysis,VISSOFT '05,,0-7803-9540-9,,IEEE Computer Society,"Washington, DC, USA"
article,856955,Jean-Christophe  Deprez and Arun  Lakhotia,,,,A Formalism to Automate Mapping from Program Features to Code,69--,,,"Feature, test cases, software maintenance, program comprehension",,,,,,,,2000,,Proceedings of the 8th International Workshop on Program Comprehension,IWPC '00,,0-7695-0656-9,,IEEE Computer Society,"Washington, DC, USA"
article,2786195,Teresa M. Shaft and Iris  Vessey,,,,Research Report-The Relevance of Application Domain Knowledge: The Case of Computer Program Comprehension,286--299,,14,"application dependence, application domain, computer program comprehension",10.1287/isre.6.3.286,Info. Sys. Research,September 1995,6,3,,September,1995,1526-5536,,,,,,INFORMS,"Institute for Operations Research and the Management Sciences (INFORMS), Linthicum, Maryland, USA"
article,2372248,Linzhang  Wang and Zhixiong  Han and Jiantao  He and Hanfei  Wang and Xuandong  Li,,,,Recovering Design Patterns to Support Program Comprehension,49--54,,6,"design pattern, program comprehension, software clustering",10.1145/2372233.2372248,,,,,,,2012,,Proceedings of the 2Nd International Workshop on Evidential Assessment of Software Technologies,EAST '12,,978-1-4503-1509-8,"Lund, Sweden",ACM,"New York, NY, USA"
article,1847940,Mario Luca Bernardi and Giuseppe Antonio Di Lucca,,,,The ConAn Tool to Identify Crosscutting Concerns in Object Oriented Systems,48--49,,2,"Aspect Oriented Programming, Program Comprehension, Reverse Engineering",10.1109/ICPC.2010.34,,,,,,,2010,,Proceedings of the 2010 IEEE 18th International Conference on Program Comprehension,ICPC '10,,978-0-7695-4113-6,,IEEE Computer Society,"Washington, DC, USA"
article,3196339,Boyang  Li and Christopher  Vendome and Mario  Linares-V&#225;squez and Denys  Poshyvanyk,,,,Aiding Comprehension of Unit Test Cases and Test Suites with Stereotype-based Tagging,52--63,,12,"maintaining software, program comprehension, unit test cases",10.1145/3196321.3196339,,,,,,,2018,,Proceedings of the 26th Conference on Program Comprehension,ICPC '18,,978-1-4503-5714-2,"Gothenburg, Sweden",ACM,"New York, NY, USA"
article,1034573,Pablo  Romero and Benedict du Boulay,,,,Structural Knowledge and Language Notational Properties in Program Comprehension,223--225,,3,"knowledge representation, program debugging, program comprehension",10.1109/VLHCC.2004.50,,,,,,,2004,,Proceedings of the 2004 IEEE Symposium on Visual Languages - Human Centric Computing,VLHCC '04,,0-7803-8696-5,,IEEE Computer Society,"Washington, DC, USA"
article,2544268,Ting-Yun  Hou and Yu-Tzu  Lin and Yu-Chih  Lin and Cheng-Chih  Wu,,,,Exploring Cognitive Processes in Program Comprehension Based on Eye-movement Analysis (Abstract Only),707--708,,2,"cognition process, eye tracking, program comprehension",10.1145/2538862.2544268,,,,,,,2014,,Proceedings of the 45th ACM Technical Symposium on Computer Science Education,SIGCSE '14,,978-1-4503-2605-6,"Atlanta, Georgia, USA",ACM,"New York, NY, USA"
article,2305068,Andreas  Stefik and Christopher  Hundhausen and Robert  Patterson,,,,An Empirical Investigation into the Design of Auditory Cues to Enhance Computer Program Comprehension,820--838,,19,"Auditory programming, Debugging, Program comprehension, Programming",10.1016/j.ijhcs.2011.07.002,Int. J. Hum.-Comput. Stud.,"December, 2011",69,12,,December,2011,1071-5819,,,,,,"Academic Press, Inc.","Duluth, MN, USA"
article,3182538,Xin  Xia and Lingfeng  Bao and David  Lo and Zhenchang  Xing and Ahmed E. Hassan and Shanping  Li,,,,Measuring Program Comprehension: A Large-scale Field Study with Professionals,584--584,,1,"field study, inference model, program comprehension",10.1145/3180155.3182538,,,,,,,2018,,Proceedings of the 40th International Conference on Software Engineering,ICSE '18,,978-1-4503-5638-1,"Gothenburg, Sweden",ACM,"New York, NY, USA"
phdthesis,76535,B. R. Rimes,,,,,,,,,,,,,,,,1989,,A Program Visualization System That Supports the Program Understanding Process,,,,,Louisiana State University,"Baton Rouge, LA, USA"
phdthesis,917851,Mohammad Hassan Shafazand,,,Major Professor-John C. Thompson,,,,,,,,,,,,,1990,,Knowledge Base Program Understanding via Augmented Plan Transition Networks,,,,,The University of Oklahoma,
phdthesis,163784,Eun Man Choi,,,,,,,,,,,,,,,,1993,,Support for Program Understanding During Maintenance via Chunking,,,,,Illinois Institute of Technology,"Chicago, IL, USA"
article,2477577,Jose Luis Freitas and Daniela  da Cruz and Pedro Rangel Henriques,,,,A Comment Analysis Approach for Program Comprehension,11--20,,10,"program comprehension, comment analysis, concept location, problem domain, program domain",10.1109/SEW.2012.8,,,,,,,2012,,Proceedings of the 2012 35th Annual IEEE Software Engineering Workshop,SEW '12,,978-0-7695-4947-7,,IEEE Computer Society,"Washington, DC, USA"
article,3101421,Gal  Beniamini and Sarah  Gingichashvili and Alon Klein Orbach and Dror G. Feitelson,,,,Meaningful Identifier Names: The Case of Single-letter Variables,45--54,,10,"meaningful identifier names, program comprehension, single-letter names",10.1109/ICPC.2017.18,,,,,,,2017,,Proceedings of the 25th International Conference on Program Comprehension,ICPC '17,,978-1-5386-0535-6,"Buenos Aires, Argentina",IEEE Press,"Piscataway, NJ, USA"
article,2597151,Alexandre  Perez and Rui  Abreu,,,,A Diagnosis-based Approach to Software Comprehension,37--47,,11,"Fault Diagnosis, Program Comprehension, Software Evolution and Maintenance",10.1145/2597008.2597151,,,,,,,2014,,Proceedings of the 22Nd International Conference on Program Comprehension,ICPC 2014,,978-1-4503-2879-1,"Hyderabad, India",ACM,"New York, NY, USA"
article,567179,"Dean  Hendrix and James H. Cross,II and Saeed  Maghsoodloo",,,,The Effectiveness of Control Structure Diagrams in Source Code Comprehension Activities,463--477,,15,"software visualization, control structure diagram, program comprehension, controlled experiments, evaluation",10.1109/TSE.2002.1000450,IEEE Trans. Softw. Eng.,May 2002,28,5,,May,2002,0098-5589,,,,,,IEEE Press,"Piscataway, NJ, USA"
article,3265776,Peter  Donaldson and Quintin  Cutts,,,,Flexible Low-cost Activities to Develop Novice Code Comprehension Skills in Schools,19:1--19:4,19,4,"block model, formative assessment, notional machine, program comprehension",10.1145/3265757.3265776,,,,,,,2018,,Proceedings of the 13th Workshop in Primary and Secondary Computing Education,WiPSCE '18,,978-1-4503-6588-8,"Potsdam, Germany",ACM,"New York, NY, USA"
article,3322876,Jonathan A. Saddler,,,,Looks Can Mean Achieving: Understanding Eye Gaze Patterns of Proficiency in Code Comprehension,57:1--57:3,57,3,"developer expertise, eye tracking, program comprehension, task proficiency",10.1145/3314111.3322876,,,,,,,2019,,Proceedings of the 11th ACM Symposium on Eye Tracking Research & Applications,ETRA '19,,978-1-4503-6709-7,"Denver, Colorado",ACM,"New York, NY, USA"
article,1632684,Sukanya  Ratanotayanon and Susan Elliott Sim and Rosalva  Gallardo-Valencia,,,,Supporting Program Comprehension in Agile with Links to User Stories,26--32,,7,"user stories, program comprehension, link evolution, traceability links",10.1109/AGILE.2009.66,,,,,,,2009,,Proceedings of the 2009 Agile Conference,AGILE '09,,978-0-7695-3768-9,,IEEE Computer Society,"Washington, DC, USA"
article,3101465,Rita  Francese and Michele  Risi and Genoveffa  Tortora,,,,MetricAttitude++: Enhancing Polymetric Views with Information Retrieval,368--371,,4,"information retrieval, program comprehension, reverse engineering, software visualization",10.1109/ICPC.2017.15,,,,,,,2017,,Proceedings of the 25th International Conference on Program Comprehension,ICPC '17,,978-1-5386-0535-6,"Buenos Aires, Argentina",IEEE Press,"Piscataway, NJ, USA"
article,2403452,Janet  Siegmund and Norbert  Siegmund and Jana  Fruth and Sven  Kuhlmann and Jana  Dittmann and Gunter  Saake,,,,Program Comprehension in Preprocessor-based Software,517--528,,12,"empirical software engineering, preprocessor, program comprehension, software quality",10.1007/978-3-642-33675-1_49,,,,,,,2012,,"Proceedings of the 2012 International Conference on Computer Safety, Reliability, and Security",SAFECOMP'12,,978-3-642-33674-4,"Magdeburg, Germany",Springer-Verlag,"Berlin, Heidelberg"
article,858256,Claire  Knight and Malcolm  Munro,,,,Comprehension with[in] Virtual Environment Visualisations,4--,,,"Program Comprehension, Software Visualisation, Virtual Reality, Software Maintenance",,,,,,,,1999,,Proceedings of the 7th International Workshop on Program Comprehension,IWPC '99,,0-7695-0179-6,,IEEE Computer Society,"Washington, DC, USA"
article,1006840,,,,,Programming Style Changes in Evolving Source Code,236--,,,"program comprehension, software evolution, programming style, software quality",,,,,,,,2004,,Proceedings of the 12th IEEE International Workshop on Program Comprehension,IWPC '04,,0-7695-2149-5,,IEEE Computer Society,"Washington, DC, USA"
article,3339083,Djan  Santos and Cl&#225;udio  Sant'Anna,,,,How Does Feature Dependency Affect Configurable System Comprehensibility?,19--29,,11,"configurable systems, eye tracking, feature dependency, program comprehension, variability bugs",10.1109/ICPC.2019.00016,,,,,,,2019,,Proceedings of the 27th International Conference on Program Comprehension,ICPC '19,,,"Montreal, Quebec, Canada",IEEE Press,"Piscataway, NJ, USA"
article,3106268,Janet  Siegmund and Norman  Peitek and Chris  Parnin and Sven  Apel and Johannes  Hofmeister and Christian  K&#228;stner and Andrew  Begel and Anja  Bethmann and Andr&#233;  Brechmann,,,,Measuring Neural Efficiency of Program Comprehension,140--150,,11,"functional magnetic resonance imaging, neural efficiency, program comprehension",10.1145/3106237.3106268,,,,,,,2017,,Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering,ESEC/FSE 2017,,978-1-4503-5105-8,"Paderborn, Germany",ACM,"New York, NY, USA"
article,2790633,Janet  Siegmund and Jana  Schumann,,,,Confounding Parameters on Program Comprehension: A Literature Survey,1159--1192,,34,"Confounding parameters, Controlled experiment, Empirical research, Program comprehension",10.1007/s10664-014-9318-8,Empirical Softw. Engg.,August    2015,20,4,,August,2015,1382-3256,,,,,,Kluwer Academic Publishers,"Hingham, MA, USA"
article,2863039,Chetan  Khadke and Sunjit  Rana and Vipul  Shah,,,,Recovering Workflows from Functional Tests,287--288,,2,"Test Script, Knowledge Acquisition, Program Comprehension, Process Mining",10.1109/ICPC.2015.41,,,,,,,2015,,Proceedings of the 2015 IEEE 23rd International Conference on Program Comprehension,ICPC '15,,978-1-4673-8159-8,,IEEE Computer Society,"Washington, DC, USA"
article,3035186,Alexandre  Perez and Rui  Abreu,,,,Framing Program Comprehension As Fault Localization,840--862,,23,"fault diagnosis, program comprehension, software evolution and maintenance",10.1002/smr.1799,J. Softw. Evol. Process,October 2016,28,10,,October,2016,2047-7473,,,,,,"John Wiley &amp; Sons, Inc.","New York, NY, USA"
article,2597799,Carmine  Vassallo and Sebastiano  Panichella and Massimiliano  Di Penta and Gerardo  Canfora,,,,CODES: Mining Source Code Descriptions from Developers Discussions,106--109,,4,"Code re-documentation, Mining developer discussions, Program comprehension",10.1145/2597008.2597799,,,,,,,2014,,Proceedings of the 22Nd International Conference on Program Comprehension,ICPC 2014,,978-1-4503-2879-1,"Hyderabad, India",ACM,"New York, NY, USA"
